id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
MG31311,Antanambao Manampontsy,Antanambao Manampontsy,antanambao-manampontsy,MG31311,5,-19.564,48.461
MG31306,Brickaville,Brickaville,brickaville,MG31306,17,-18.667,48.883
MG31308,Mahanoro,Mahanoro,mahanoro,MG31308,11,-20.043,48.505
MG31309,Marolambo,Marolambo,marolambo,MG31309,14,-20.084,48.019
MG31301,Toamasina I,Toamasina I,toamasina-i,MG31301,5,-18.143,49.398
MG31310,Toamasina II,Toamasina II,toamasina-ii,MG31310,17,-18.014,49.089
MG31307,Vatomandry,Vatomandry,vatomandry,MG31307,19,-19.365,48.771
