id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.district,children_count.commune,zip_codes,geo.lat,geo.lon
MG44420,2,Distrika,District,Antsalova,Antsalova,antsalova,MG44420,,MG44,Melaky,Melaky,,,5,,-18.816,44.628
MG44421,2,Distrika,District,Maintirano,Maintirano,maintirano,MG44421,,MG44,Melaky,Melaky,,,17,,-17.733,44.405
MG44422,2,Distrika,District,Morafenobe,Morafenobe,morafenobe,MG44422,,MG44,Melaky,Melaky,,,3,,-17.912,45.014
MG51,1,Faritra,Region,Atsimo Andrefana,Atsimo Andrefana,atsimo-andrefana,MG51,,,,,,9,110,,-18.977,48.584
MG51501,2,Distrika,District,Toliary-I,Toliary-I,toliary-i,MG51501,,MG51,Atsimo Andrefana,Atsimo Andrefana,,,6,,-23.343,43.659
MG51503,2,Distrika,District,Beroroha,Beroroha,beroroha,MG51503,,MG51,Atsimo Andrefana,Atsimo Andrefana,,,8,,-21.505,45.236
MG51504,2,Distrika,District,Morombe,Morombe,morombe,MG51504,,MG51,Atsimo Andrefana,Atsimo Andrefana,,,8,,-21.873,43.739
MG51505,2,Distrika,District,Ankazoabo,Ankazoabo,ankazoabo,MG51505,,MG51,Atsimo Andrefana,Atsimo Andrefana,,,6,,-22.132,44.7
MG51506,2,Distrika,District,Betioky Atsimo,Betioky Atsimo,betioky-atsimo,MG51506,,MG51,Atsimo Andrefana,Atsimo Andrefana,,,27,,-23.693,44.534
MG51507,2,Distrika,District,Ampanihy Ouest,Ampanihy Ouest,ampanihy-ouest,MG51507,,MG51,Atsimo Andrefana,Atsimo Andrefana,,,16,,-24.59,44.422
MG51512,2,Distrika,District,Sakaraha,Sakaraha,sakaraha,MG51512,,MG51,Atsimo Andrefana,Atsimo Andrefana,,,12,,-22.83,44.369
MG51520,2,Distrika,District,Toliary-II,Toliary-II,toliary-ii,MG51520,,MG51,Atsimo Andrefana,Atsimo Andrefana,,,23,,-23.281,43.808
MG51521,2,Distrika,District,Benenitra,Benenitra,benenitra,MG51521,,MG51,Atsimo Andrefana,Atsimo Andrefana,,,4,,-23.452,45.065
MG52,1,Faritra,Region,Androy,Androy,androy,MG52,,,,,,4,51,,-24.687,45.392
MG52513,2,Distrika,District,Beloha,Beloha,beloha,MG52513,,MG52,Androy,Androy,,,6,,-25.05,44.938
MG52514,2,Distrika,District,Tsihombe,Tsihombe,tsihombe,MG52514,,MG52,Androy,Androy,,,7,,-25.344,45.472
MG52516,2,Distrika,District,Ambovombe-Androy,Ambovombe-Androy,ambovombe-androy,MG52516,,MG52,Androy,Androy,,,19,,-24.799,45.796
MG52518,2,Distrika,District,Bekily,Bekily,bekily,MG52518,,MG52,Androy,Androy,,,19,,-24.27,45.444
MG53,1,Faritra,Region,Anosy,Anosy,anosy,MG53,,,,,,3,64,,-23.937,46.309
MG53515,2,Distrika,District,Taolagnaro,Taolagnaro,taolagnaro,MG53515,,MG53,Anosy,Anosy,,,27,,-24.588,46.948
MG53517,2,Distrika,District,Betroka,Betroka,betroka,MG53517,,MG53,Anosy,Anosy,,,21,,-23.412,45.85
MG53519,2,Distrika,District,Amboasary-Atsimo,Amboasary-Atsimo,amboasary-atsimo,MG53519,,MG53,Anosy,Anosy,,,16,,-24.509,46.357
MG54,1,Faritra,Region,Menabe,Menabe,menabe,MG54,,,,,,5,51,,-20.036,44.701
MG54502,2,Distrika,District,Manja,Manja,manja,MG54502,,MG54,Menabe,Menabe,,,6,,-21.407,44.152
MG54508,2,Distrika,District,Morondava,Morondava,morondava,MG54508,,MG54,Menabe,Menabe,,,5,,-20.514,44.347
MG54509,2,Distrika,District,Mahabo,Mahabo,mahabo,MG54509,,MG54,Menabe,Menabe,,,11,,-20.687,45.186
MG54510,2,Distrika,District,Belo Sur Tsiribihina,Belo Sur Tsiribihina,belo-sur-tsiribihina,MG54510,,MG54,Menabe,Menabe,,,14,,-19.66,44.791
MG54511,2,Distrika,District,Miandrivazo,Miandrivazo,miandrivazo,MG54511,,MG54,Menabe,Menabe,,,15,,-19.207,45.321
MG71,1,Faritra,Region,Diana,Diana,diana,MG71,,,,,,5,65,,-13.109,48.762
MG71713,2,Distrika,District,Antsiranana II,Antsiranana II,antsiranana-ii,MG71713,,MG71,Diana,Diana,,,21,,-12.498,49.164
MG71715,2,Distrika,District,Antsiranana I,Antsiranana I,antsiranana-i,MG71715,,MG71,Diana,Diana,,,1,,-12.291,49.265
MG71717,2,Distrika,District,Ambilobe,Ambilobe,ambilobe,MG71717,,MG71,Diana,Diana,,,15,,-13.513,49.008
MG71718,2,Distrika,District,Nosy-Be,Nosy-Be,nosy-be,MG71718,,MG71,Diana,Diana,,,5,,-13.349,48.26
MG71719,2,Distrika,District,Ambanja,Ambanja,ambanja,MG71719,,MG71,Diana,Diana,,,23,,-13.784,48.375
MG72,1,Faritra,Region,Sava,Sava,sava,MG72,,,,,,4,79,,-14.368,49.775
MG72710,2,Distrika,District,Antalaha,Antalaha,antalaha,MG72710,,MG72,Sava,Sava,,,16,,-15.259,50.137
MG72711,2,Distrika,District,Sambava,Sambava,sambava,MG72711,,MG72,Sava,Sava,,,26,,-14.245,49.675
MG72712,2,Distrika,District,Andapa,Andapa,andapa,MG72712,,MG72,Sava,Sava,,,18,,-14.613,49.497
MG72716,2,Distrika,District,Vohemar,Vohemar,vohemar,MG72716,,MG72,Sava,Sava,,,19,,-13.453,49.733
